1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40476,40218,40751,38589,38374,38306,29915,19859,6570,49520,41006,29618,48478,33400,16795,46602,27404,8231,41300,19763,2581
40405,40394,40556,38456,38098,38114,29805,21297,7314,48609,42838,30875,47566,36282,17957,45880,29889,9325,40785,22133,3069
39272,39359,39480,37550,37808,37741,29393,22775,8244,46811,43524,31069,45914,38289,19189,44387,32755,10492,39825,24834,3847
38216,38398,37978,36715,36709,36601,28985,23797,8991,44871,44268,31562,43795,40429,20292,42022,35076,11669,38350,27709,4599
36575,36461,36159,35153,34924,34650,28355,25409,9739,42095,44075,32165,41229,41976,21646,40009,37167,13123,36687,30043,5453
34321,34160,34451,33382,33342,33596,27510,26411,10971,37996,43511,31921,38081,42408,23197,37185,39351,14640,34944,32043,6872
32118,32342,32017,31405,31676,31028,26429,27671,12161,34826,41889,32076,34516,43062,24137,34067,40645,16095,32376,34532,7874
29799,29961,30268,29165,29428,29220,25147,28495,13225,30701,40193,31727,30843,42576,25495,30205,41816,18074,30247,36942,9703
27295,27397,27383,26728,27206,27025,23866,29115,14499,27025,37626,30925,26979,41228,26170,27205,42223,19800,27280,38502,11166
24977,25092,24899,24484,24916,24906,22535,29662,15905,23528,34806,29882,23561,40036,27104,24056,42036,21213,24994,39872,12867
22215,22165,22234,22509,22527,22498,21236,30068,17215,20145,31932,29088,20223,38238,27776,20729,41141,23165,22251,40739,15326
19677,19968,19908,19947,20055,20300,19832,30007,18630,17175,29083,27726,17287,35888,28173,17891,40081,24962,19676,41250,17396
17457,17533,17410,17894,18044,18222,18618,29878,20106,14291,25107,26205,14507,33730,28352,15084,38244,26798,17247,41350,19693
15228,15373,15201,15589,15961,16057,16895,29807,21446,11926,22535,24552,12268,30339,28510,12908,36843,27816,15072,40509,22412
13271,13244,12971,13848,13977,14137,15539,29397,22749,9636,19352,22978,9900,27517,28614,10747,34279,29308,13163,39714,24869
11286,11207,11414,11840,12276,12431,14504,28825,23623,7902,16749,21702,8204,24874,27991,9049,32042,30280,11015,38633,27331
9823,9814,9655,10258,10543,10455,13075,28198,25199,6451,14103,19577,6686,22198,27555,7452,29288,31366,9595,37068,30077
8003,8239,8239,8947,9098,9309,11974,27212,26331,5174,12216,17946,5391,19526,26894,6054,26488,32101,8014,34533,32408
6789,6796,7073,7586,7754,7875,10769,26025,27375,4175,9995,16295,4364,17172,25782,4974,24054,32417,6678,32638,34601
5843,5814,5697,6581,6670,6602,9755,24999,27998,3301,8372,14983,3431,14946,25279,4076,21563,32666,5580,29848,36848
4759,4668,4788,5446,5381,5552,8656,23954,28813,2655,6934,13311,2863,12745,24357,3387,19054,32477,4540,27008,38357
3889,3904,3902,4679,4571,4655,7924,22369,29250,2090,5697,11852,2337,11287,22766,2781,17025,31945,3857,24837,39861
3146,3298,3313,3819,3881,3927,7146,21134,29829,1723,4795,10872,1963,9502,21931,2340,14710,31610,3043,22456,40628
2672,2601,2701,3329,3172,3326,6272,19588,29826,1373,4037,9626,1568,8104,20680,1861,12791,31079,2559,19934,41095
2217,2259,2205,2699,2742,2660,5863,18458,29841,1108,3302,8527,1336,6831,19414,1483,11152,29656,2043,17246,40994
1688,1788,1805,2247,2263,2297,5243,16826,29778,911,2699,7850,1063,5908,18188,1244,9676,28401,1715,15262,40838
1453,1433,1451,1937,1962,1907,4781,15487,29523,744,2296,7132,930,5116,16748,1041,8400,27433,1390,12985,39831
1210,1124,1213,1673,1538,1579,4413,14214,28672,616,2003,6414,737,4416,15489,950,7117,25841,1134,11375,38271
924,918,1039,1351,1368,1349,3938,12846,27963,518,1669,5997,639,3847,14723,738,6226,24185,945,9487,36798
829,838,834,1157,1085,1193,3691,11786,27216,453,1384,5234,579,3272,13809,663,5210,22891,773,8054,34487
687,675,666,969,958,1034,3317,10936,25999,410,1229,4890,519,2766,12698,540,4472,21540,649,6731,32603
580,626,598,817,818,833,3034,9596,24677,348,1045,4568,446,2397,11692,528,3753,19547,535,5617,30053
501,525,538,777,788,736,2874,9026,23854,287,912,4091,411,2024,10947,497,3246,17967,488,4532,27669
483,473,472,742,756,724,2814,8040,22472,290,832,3798,426,1882,9921,417,2804,16407,423,3862,25059
423,429,450,658,636,625,2728,7007,20897,286,771,3653,413,1642,9146,446,2389,15076,384,3087,22303
440,416,443,632,692,646,2733,6385,19671,293,718,3406,385,1470,8654,426,2055,13720,384,2655,19612
405,428,382,631,628,631,2721,5825,18476,248,688,3300,412,1327,7871,373,1767,12281,389,2018,17427
441,419,427,689,657,698,2640,5290,16871,281,677,3050,345,1248,7393,388,1532,10847,369,1664,15245
483,465,506,682,739,708,2874,4765,15573,267,629,2926,392,1166,6618,429,1413,9898,464,1377,12922
525,527,499,785,775,792,3006,4295,14228,308,679,2944,423,1098,6376,492,1234,9043,476,1146,11165
615,573,628,852,847,868,3140,3951,13041,328,718,2823,480,1051,5726,541,1094,8323,536,884,9373
687,666,731,992,982,1056,3356,3673,12094,386,740,2810,561,1026,5436,610,929,7387,644,697,8071
898,853,799,1179,1226,1189,3548,3390,10976,471,806,2750,570,990,5167,713,919,6443,776,616,6767
981,1058,1043,1358,1369,1454,3945,3092,9872,537,809,2882,672,973,4904,739,875,5757,952,566,5540
1259,1237,1173,1639,1615,1660,4304,2942,8937,615,965,2877,778,954,4767,960,845,5265,1189,482,4714
1483,1423,1478,1856,1999,1943,4736,2904,8144,760,1073,3072,868,1086,4411,996,853,4646,1403,408,3757
1730,1781,1788,2244,2254,2367,5277,2884,7160,923,1109,3120,1095,1106,4291,1258,822,4270,1682,408,3073
2197,2165,2070,2680,2766,2830,5796,2687,6460,1144,1340,3374,1282,1207,4242,1534,820,3927,2019,384,2579
2737,2686,2617,3149,3301,3172,6472,2722,5830,1362,1503,3633,1656,1246,4220,1804,841,3572,2660,364,2110
3208,3243,3281,3860,3882,3860,7120,2747,5296,1750,1860,3933,1906,1471,4183,2238,922,3329,2966,390,1663
3958,3984,3921,4539,4659,4691,7869,2751,4675,2192,2154,4272,2382,1624,4176,2817,913,3109,3842,444,1419
4728,4774,4727,5448,5494,5733,8686,3028,4373,2682,2467,4673,2887,1785,4227,3371,1017,2889,4710,481,1115
5735,5564,5815,6445,6361,6556,9664,3068,3998,3308,2955,5063,3503,1966,4297,4127,1127,2874,5546,559,935
6831,6873,6735,7473,7595,7816,10967,3306,3603,4193,3497,5809,4398,2245,4455,4982,1268,2683,6792,672,758
8225,8272,8182,8846,8891,9104,12025,3703,3348,5204,4244,6291,5409,2588,4624,6014,1480,2678,8082,760,678
9795,9488,9530,10328,10416,10412,13256,3884,3144,6439,4779,7346,6682,2965,4836,7300,1695,2504,9628,924,562
11618,11116,11364,12171,11924,12109,14481,4310,3014,7868,5793,7908,8162,3480,5070,9138,1976,2577,11074,1131,435
13359,13395,13046,13815,13753,13662,15618,4731,2858,9765,7019,8814,10007,4141,5414,10810,2393,2635,13257,1355,445
15257,15218,15088,15917,15912,15737,17176,5300,2748,11769,8240,9771,12149,4741,5806,12799,2877,2626,15060,1694,420
17629,17479,17467,17793,17787,17962,18414,5813,2766,14038,9487,10946,14543,5798,6228,15406,3337,2826,17548,2065,390
19823,19781,19927,20106,19949,20053,19638,6562,2733,16968,11251,12113,16998,6665,6503,17939,4033,2882,19609,2586,393
22099,22329,22450,22573,22312,22159,21314,7339,2748,20201,12874,13198,20013,8083,7273,21037,4782,3071,22269,3073,403
24959,24796,24845,24661,24334,24539,22820,7971,2910,23388,15122,14672,23598,9526,7787,23782,5718,3254,24956,3794,417
27425,27227,27494,26858,26844,26741,23849,8790,3058,27260,17290,16089,26891,11012,8402,27384,6986,3313,27497,4640,510
29948,29866,29809,29353,28807,28748,25200,9814,3143,30805,19784,17874,30858,12742,9100,30328,8244,3538,29828,5736,552
32153,32397,32350,31524,30517,30953,26306,10808,3371,34650,22313,19313,34462,14789,9829,33927,9825,3942,32401,6686,667
34622,34731,34508,33234,32841,32994,27588,11899,3682,38388,25126,21023,37857,17096,10799,36954,11669,4432,34744,7950,766
36411,36177,36175,35145,34652,34803,28168,13298,4037,41636,28010,22443,41371,19566,11596,39842,13542,4777,36920,9687,969
38054,38307,37993,36603,36472,35747,29163,14640,4314,44482,31003,24105,43544,22277,12385,42686,15830,5402,38254,11139,1155
39642,39473,39656,37730,37674,37461,29445,15912,4800,46918,33957,25252,46304,24841,13425,44543,18432,5848,39649,13017,1364
40476,40589,40384,38328,38710,38114,29885,17068,5245,48866,36570,27089,48054,27734,14417,45568,21314,6538,40482,15024,1711
40657,40730,40950,38956,39059,38562,29969,18279,5902,49337,38966,28349,48650,31064,15675,46247,24211,7298,41386,17396,2079
